ID;SEASON;TRIAL;A_x;A_y;B_x;B_y;C_x;C_y;D_x;D_y;FOOD_x;FOOD_y;cmxpixel
20200804-2;winter;1;62.00543;73.2629;117.22064;15.72472;172.61454;72.90552;118.11409;127.22728;141.34379;26.8035;0.17869
20200804-2;winter;2;62.89888;73.44159;118.47147;16.43948;173.15061;72.19076;118.47147;127.04859;140.80772;27.51826;0.17869
20200804-2;winter;3;61.82674;72.90552;117.39933;16.97555;172.25716;72.72683;118.65016;127.58466;140.27165;27.51826;0.17869
20200804-2;winter;4;62.36281;73.2629;118.47147;16.43948;172.79323;72.19076;118.29278;126.69121;140.09296;26.98219;0.17869
20200804-2;winter;5;62.5415;73.2629;117.57802;17.69031;172.61454;72.36945;118.29278;127.76335;140.62903;27.87564;0.17869
20200804-2;winter;6;62.36281;72.36945;118.29278;16.26079;172.97192;72.36945;118.29278;127.40597;140.62903;26.98219;0.17869
20200804-2;winter;7;62.18412;73.08421;117.75671;16.61817;172.43585;72.19076;118.29278;126.69121;139.91427;26.08874;0.17869
20200804-2;winter;8;62.00543;72.90552;117.75671;17.51162;172.61454;72.19076;118.29278;127.58466;139.91427;28.23302;0.17869
20200804-2;winter;9;62.36281;72.90552;118.29278;15.90341;172.97192;72.01207;118.29278;126.69121;140.45034;27.33957;0.17869
20200804-2;winter;10;62.00543;73.44159;117.75671;16.43948;172.97192;71.83338;118.65016;126.8699;140.09296;26.98219;0.17869
20200625-3;winter;1;50.39058;74.69242;104.17627;18.22638;160.46362;72.90552;106.32055;128.47811;129.01418;26.62481;0.17869
20200625-3;winter;2;51.46272;74.87111;106.14186;17.51162;161.35707;72.01207;106.67793;127.94204;129.19287;26.98219;0.17869
20200625-3;winter;3;50.21189;74.51373;104.53365;17.51162;160.64231;72.36945;106.32055;127.40597;128.47811;26.62481;0.17869
20200625-3;winter;4;50.56927;74.87111;104.89103;17.51162;160.821;72.36945;106.67793;127.40597;127.94204;26.62481;0.17869
20200625-3;winter;5;50.56927;74.87111;103.99758;18.58376;160.64231;72.19076;106.85662;128.29942;126.8699;26.62481;0.17869
20200625-3;winter;6;50.74796;75.40718;105.96317;16.97555;162.07183;71.83338;106.67793;128.47811;128.47811;27.51826;0.17869
20200625-3;winter;7;50.74796;75.40718;105.24841;16.43948;161.71445;72.19076;106.67793;128.47811;128.29942;27.69695;0.17869
20200625-3;winter;8;49.67582;75.0498;104.89103;17.869;161.35707;72.72683;106.49924;129.37156;128.29942;28.05433;0.17869
20200625-3;winter;9;50.74796;75.22849;104.35496;16.79686;161.89314;72.54814;106.49924;128.12073;128.6568;28.05433;0.17869
20200625-3;winter;10;55.92997;68.97434;111.68125;13.40175;165.64563;69.33172;110.7878;123.2961;135.08964;25.0166;0.17869
20201031-1;winter;1;49.85451;74.87111;104.35496;19.29852;159.74886;75.40718;104.89103;129.19287;128.47811;29.84123;0.17869
20201031-1;winter;2;50.56927;75.58587;105.24841;19.83459;160.28493;75.0498;105.06972;129.37156;127.76335;31.27075;0.17869
20201031-1;winter;3;49.67582;74.69242;104.35496;20.01328;159.39148;75.0498;104.89103;129.19287;129.01418;30.91337;0.17869
20201031-1;winter;4;49.85451;74.15635;105.60579;19.47721;159.74886;75.22849;104.89103;128.83549;128.47811;30.19861;0.17869
20201031-1;winter;5;50.39058;75.22849;106.49924;19.83459;160.28493;75.0498;105.06972;129.37156;130.80108;31.98551;0.17869
20201031-1;winter;6;50.56927;75.0498;105.78448;20.01328;160.28493;75.22849;105.06972;129.72894;127.76335;31.27075;0.17869
20201031-1;winter;7;66.83006;77.55146;114.00422;29.12647;161.53576;76.12194;115.25505;123.47479;135.44702;36.09538;0.17869
20201031-1;winter;8;49.49713;74.69242;103.28282;20.01328;159.57017;75.40718;104.17627;129.55025;125.97645;30.91337;0.17869
20201031-1;winter;9;49.31844;74.51373;104.53365;18.94114;159.57017;75.22849;104.35496;128.6568;126.33383;31.80682;0.17869
20201031-1;winter;10;50.21189;75.22849;105.24841;20.01328;160.46362;75.94325;104.53365;129.37156;128.6568;31.44944;0.17869
20201101-1;winter;1;76.67806;90.770244;132.010606;33.779794;187.135914;88.905102;132.63232;144.03041;156.46469;43.934456;0.207238
20201101-1;winter;2;77.71425;89.941292;133.046796;33.572556;187.964866;88.905102;132.839558;144.03041;156.671928;44.970646;0.207238
20201101-1;winter;3;77.092536;89.734054;131.59613;33.779794;186.928676;88.697864;132.217844;142.579744;157.50088;43.934456;0.207238
20201101-1;winter;4;77.299774;90.14853;133.461272;33.15808;187.964866;88.697864;133.046796;143.408696;156.671928;43.51998;0.207238
20201101-1;winter;5;78.128726;89.734054;132.010606;33.779794;188.379342;88.697864;133.66851;143.408696;156.050214;44.55617;0.207238
20201101-1;winter;6;78.128726;89.941292;133.461272;33.365318;188.379342;88.697864;133.254034;143.408696;157.915356;45.59236;0.207238
20201101-1;winter;7;78.128726;89.319578;132.217844;33.779794;187.343152;88.283388;133.66851;142.579744;155.4285;42.069314;0.207238
20201101-1;winter;8;78.335964;89.734054;133.046796;33.779794;188.379342;88.490626;134.082986;143.408696;156.671928;44.55617;0.207238
20201101-1;winter;9;77.507012;89.11234;131.803368;33.15808;186.928676;89.526816;134.290224;142.165268;157.915356;42.069314;0.207238
20201101-1;winter;10;78.128726;89.941292;133.66851;33.365318;188.58658;88.905102;134.082986;143.823172;157.708118;42.276552;0.207238
20201101-3;winter;1;58.25294;74.69242;113.46815;17.69031;169.21943;72.90552;115.07636;128.6568;136.87654;28.5904;0.17869
20201101-3;winter;2;59.32508;74.69242;114.89767;18.22638;169.04074;73.2629;115.07636;128.29942;138.12737;29.66254;0.17869
20201101-3;winter;3;58.9677;74.15635;113.28946;18.04769;168.86205;73.62028;115.25505;128.29942;139.3782;29.30516;0.17869
20201101-3;winter;4;58.9677;73.97766;114.00422;18.22638;169.21943;73.44159;114.89767;127.58466;136.69785;28.76909;0.17869
20201101-3;winter;5;59.32508;74.51373;114.3616;18.58376;169.57681;73.79897;115.43374;128.6568;139.19951;25.55267;0.17869
20201101-3;winter;6;59.50377;74.51373;114.3616;18.22638;169.93419;73.08421;115.25505;127.94204;139.91427;27.33957;0.17869
20201101-3;winter;7;59.14639;74.33504;113.82553;17.869;169.39812;72.72683;115.25505;127.58466;138.30606;28.23302;0.17869
20201101-3;winter;8;58.78901;74.69242;114.00422;18.58376;169.04074;73.62028;114.54029;128.47811;138.66344;28.76909;0.17869
20201101-3;winter;9;59.14639;74.33504;113.28946;18.04769;169.21943;73.08421;115.07636;128.12073;136.16178;26.98219;0.17869
20201101-3;winter;10;59.32508;75.40718;114.54029;18.40507;169.7555;73.2629;115.25505;128.6568;141.34379;26.44612;0.17869
20201103-1;winter;1;63.07757;75.40718;117.9354;18.58376;171.89978;74.51373;118.11409;128.47811;142.59462;27.69695;0.17869
20201103-1;winter;2;63.25626;74.33504;119.00754;18.94114;172.79323;74.15635;118.65016;129.37156;143.13069;26.62481;0.17869
20201103-1;winter;3;62.36281;73.97766;117.9354;18.40507;171.89978;74.15635;118.47147;128.12073;142.05855;30.55599;0.17869
20201103-1;winter;4;62.72019;73.79897;117.75671;18.22638;172.43585;74.51373;118.29278;128.12073;139.55689;27.51826;0.17869
20201103-1;winter;5;62.89888;74.15635;118.11409;19.29852;172.79323;74.33504;118.29278;128.6568;140.45034;30.3773;0.17869
20201103-1;winter;6;62.89888;74.51373;118.65016;18.76245;172.61454;74.69242;117.75671;128.83549;142.952;30.55599;0.17869
20201103-1;winter;7;63.07757;74.51373;119.36492;18.58376;172.79323;74.15635;118.11409;128.12073;140.62903;29.30516;0.17869
20201103-1;winter;8;63.07757;73.79897;118.11409;19.11983;172.61454;74.33504;118.65016;129.19287;139.55689;29.12647;0.17869
20201103-1;winter;9;63.07757;73.79897;119.00754;18.76245;172.61454;73.79897;117.9354;127.94204;139.91427;28.5904;0.17869
20201103-1;winter;10;63.07757;74.33504;118.65016;18.58376;172.43585;73.97766;118.47147;128.29942;140.80772;26.8035;0.17869
20201103-2;winter;1;57.53818;72.90552;112.39601;17.15424;166.89646;73.44159;113.11077;126.69121;136.51916;26.8035;0.17869
20201103-2;winter;2;58.25294;73.08421;113.82553;17.51162;167.78991;73.08421;113.28946;127.40597;135.8044;27.51826;0.17869
20201103-2;winter;3;57.53818;72.54814;112.39601;17.69031;167.25384;73.44159;112.93208;127.22728;134.91095;27.87564;0.17869
20201103-2;winter;4;58.07425;72.72683;113.11077;17.33293;167.07515;73.08421;112.93208;126.51252;136.87654;27.16088;0.17869
20201103-2;winter;5;57.53818;72.90552;111.50256;17.69031;167.25384;73.08421;113.46815;127.58466;137.05523;28.23302;0.17869
20201103-2;winter;6;57.89556;72.72683;114.18291;17.33293;167.43253;72.72683;113.46815;126.51252;136.34047;26.26743;0.17869
20201103-2;winter;7;57.71687;72.01207;112.39601;17.15424;167.25384;72.72683;113.28946;126.8699;136.69785;27.87564;0.17869
20201103-2;winter;8;57.35949;73.08421;113.82553;17.51162;167.07515;73.08421;112.93208;127.22728;135.8044;26.44612;0.17869
20201103-2;winter;9;57.53818;72.01207;112.93208;17.51162;167.07515;72.72683;113.11077;126.69121;137.5913;26.44612;0.17869
20201103-2;winter;10;57.71687;72.72683;113.82553;17.15424;167.25384;73.2629;113.46815;126.69121;135.98309;26.26743;0.17869
20201103-3;winter;1;61.11198;72.72683;115.61243;16.61817;171.18502;70.40386;116.50588;125.97645;139.19951;25.0166;0.17869
20201103-3;winter;2;62.18412;73.79897;117.22064;16.97555;170.82764;70.40386;116.32719;125.79776;140.98641;27.16088;0.17869
20201103-3;winter;3;60.7546;72.54814;115.43374;16.26079;170.29157;71.11862;116.50588;125.61907;138.66344;26.44612;0.17869
20201103-3;winter;4;60.93329;72.72683;115.25505;16.61817;170.47026;70.93993;116.68457;125.61907;137.94868;25.73136;0.17869
20201103-3;winter;5;56.10866;68.25958;111.14518;14.11651;166.00301;68.79565;110.60911;123.2961;135.62571;23.58708;0.17869
20201103-3;winter;6;62.18412;73.44159;117.04195;17.15424;171.36371;71.476;117.57802;126.15514;139.91427;26.62481;0.17869
20201103-3;winter;7;61.46936;72.72683;116.1485;16.26079;171.00633;70.93993;117.39933;125.79776;137.94868;25.91005;0.17869
20201103-3;winter;8;61.29067;73.2629;115.43374;16.61817;170.82764;71.11862;117.9354;126.15514;138.84213;26.98219;0.17869
20201103-3;winter;9;61.64805;72.90552;115.96981;16.43948;171.00633;70.58255;117.75671;125.61907;139.02082;25.91005;0.17869
20201103-3;winter;10;61.82674;73.2629;116.50588;16.26079;171.36371;69.86779;117.39933;125.61907;139.55689;26.62481;0.17869
20201103-4;winter;1;54.32176;71.29731;111.14518;18.58376;164.21611;77.55146;107.57138;127.94204;135.62571;29.48385;0.17869
20201103-4;winter;2;55.75128;71.11862;113.11077;19.11983;164.57349;76.65801;107.57138;127.94204;134.73226;31.44944;0.17869
20201103-4;winter;3;54.14307;71.476;110.96649;18.94114;163.68004;76.47932;107.214;128.29942;135.44702;29.48385;0.17869
20201103-4;winter;4;54.67914;70.40386;112.93208;18.22638;164.03742;76.65801;107.214;127.40597;134.55357;29.84123;0.17869
20201103-4;winter;5;54.85783;71.29731;112.03863;18.94114;164.21611;77.01539;107.03531;128.29942;135.62571;29.30516;0.17869
20201103-4;winter;6;55.03652;71.65469;112.5747;18.76245;164.75218;76.65801;107.214;127.94204;137.41261;30.01992;0.17869
20201103-4;winter;7;54.67914;70.58255;111.85994;18.04769;164.57349;76.12194;107.214;127.58466;135.98309;28.76909;0.17869
20201103-4;winter;8;53.78569;71.11862;110.07304;18.40507;163.68004;76.30063;107.03531;127.76335;134.37488;29.12647;0.17869
20201103-4;winter;9;53.96438;70.76124;110.96649;18.22638;163.68004;76.8367;107.214;127.58466;133.30274;29.84123;0.17869
20201103-4;winter;10;55.21521;72.01207;112.93208;18.94114;164.75218;77.01539;107.214;128.83549;135.62571;30.91337;0.17869
20201103-5;winter;1;69.631968;88.07615;123.099372;31.707414;179.26087;87.03996;126.000704;141.336316;147.553456;42.276552;0.207238
20201103-5;winter;2;69.217492;88.697864;124.550038;32.12189;179.053632;86.625484;126.000704;141.336316;148.382408;42.898266;0.207238
20201103-5;winter;3;69.010254;88.07615;123.30661;31.914652;178.846394;86.418246;125.37899;141.750792;146.517266;41.862076;0.207238
20201103-5;winter;4;69.631968;87.868912;124.3428;31.914652;179.675346;86.625484;125.171752;141.336316;147.553456;41.862076;0.207238
20201103-5;winter;5;69.839206;88.697864;124.550038;32.12189;179.882584;86.418246;125.793466;141.543554;148.589646;42.069314;0.207238
20201103-5;winter;6;69.631968;88.905102;124.757276;31.914652;179.675346;86.211008;125.793466;141.336316;147.760694;42.898266;0.207238
20201103-5;winter;7;70.668158;88.905102;124.964514;31.292938;179.882584;86.625484;125.586228;141.129078;147.760694;39.996934;0.207238
20201103-5;winter;8;69.010254;88.283388;123.513848;32.743604;179.468108;86.625484;125.586228;142.165268;149.004122;41.862076;0.207238
20201103-5;winter;9;70.046444;88.283388;123.928324;31.292938;179.882584;86.625484;125.793466;141.129078;148.17517;41.033124;0.207238
20201103-5;winter;10;78.128726;88.905102;124.3428;32.743604;179.882584;87.03996;126.207942;142.372506;146.310028;41.240362;0.207238
20201104-1;winter;1;54.67914;72.54814;109.53697;16.97555;164.57349;73.08421;110.07304;126.51252;131.33715;27.33957;0.17869
20201104-1;winter;2;59.14639;73.08421;110.7878;16.79686;165.28825;71.83338;110.43042;126.69121;133.66012;24.83791;0.17869
20201104-1;winter;3;54.50045;72.72683;109.35828;17.33293;164.03742;72.36945;110.96649;127.04859;135.08964;28.05433;0.17869
20201104-1;winter;4;55.75128;72.36945;111.50256;16.43948;165.10956;72.01207;109.35828;125.97645;134.55357;27.51826;0.17869
20201104-1;winter;5;55.3939;71.83338;110.07304;17.15424;164.3948;72.90552;110.43042;126.69121;133.83881;27.87564;0.17869
20201104-1;winter;6;56.10866;72.54814;110.96649;16.79686;165.28825;72.54814;110.43042;126.8699;135.26833;27.69695;0.17869
20201104-1;winter;7;55.57259;71.83338;111.14518;16.79686;165.28825;72.54814;110.25173;126.15514;135.44702;27.69695;0.17869
20201104-1;winter;8;54.67914;72.54814;110.96649;17.15424;164.57349;72.54814;109.71566;126.69121;132.76667;26.08874;0.17869
20201104-1;winter;9;55.03652;71.476;109.89435;16.97555;164.57349;72.36945;110.43042;125.79776;133.12405;26.62481;0.17869
20201104-1;winter;10;56.10866;73.08421;111.68125;16.79686;166.00301;72.54814;110.60911;127.04859;132.2306;24.83791;0.17869
20201106-1;winter;1;64.68578;76.30063;119.54361;19.47721;173.86537;74.51373;120.25837;128.6568;143.48807;29.12647;0.17869
20201106-1;winter;2;65.22185;76.47932;119.54361;19.47721;178.15393;74.15635;120.25837;129.19287;144.38152;30.73468;0.17869
20201106-1;winter;3;64.68578;76.12194;119.18623;19.6559;173.50799;73.79897;120.25837;129.19287;144.20283;28.76909;0.17869
20201106-1;winter;4;65.04316;75.76456;119.7223;19.47721;174.58013;73.97766;120.25837;128.83549;144.02414;30.91337;0.17869
20201106-1;winter;5;65.04316;75.58587;119.7223;19.83459;174.58013;74.15635;120.61575;129.37156;144.20283;28.5904;0.17869
20201106-1;winter;6;64.86447;76.30063;119.7223;19.29852;174.40144;73.62028;120.25837;128.83549;144.02414;28.05433;0.17869
20201106-1;winter;7;65.04316;75.0498;119.54361;19.29852;174.58013;73.2629;120.25837;128.6568;144.20283;27.69695;0.17869
20201106-1;winter;8;65.40054;74.69242;119.18623;19.29852;174.58013;73.79897;120.97313;129.01418;143.13069;27.51826;0.17869
20201106-1;winter;9;65.04316;74.87111;119.54361;19.29852;174.58013;73.62028;120.25837;128.12073;144.02414;27.87564;0.17869
20201106-1;winter;10;65.04316;75.76456;119.7223;19.6559;174.58013;73.79897;120.43706;128.83549;144.02414;40.20525;0.17869
20201106-2;winter;1;64.68578;75.0498;120.43706;20.37066;173.86537;76.30063;119.18623;129.55025;145.45366;29.12647;0.17869
20201106-2;winter;2;65.22185;75.0498;121.15182;19.83459;174.04406;75.94325;119.54361;129.55025;142.23724;31.27075;0.17869
20201106-2;winter;3;64.14971;75.94325;119.90099;19.83459;173.50799;75.94325;119.54361;129.37156;144.56021;31.62813;0.17869
20201106-2;winter;4;64.86447;73.97766;121.15182;19.29852;174.22275;75.58587;119.54361;129.01418;142.05855;28.23302;0.17869
20201106-2;winter;5;64.14971;74.15635;120.79444;20.19197;173.68668;75.94325;119.18623;129.19287;142.59462;29.84123;0.17869
20201106-2;winter;6;64.68578;74.87111;121.15182;19.83459;174.04406;75.40718;119.36492;129.19287;143.48807;28.23302;0.17869
20201106-2;winter;7;64.86447;74.15635;120.97313;19.11983;174.40144;75.40718;119.18623;129.01418;143.30938;28.23302;0.17869
20201106-2;winter;8;64.68578;74.69242;121.15182;19.83459;173.50799;75.76456;119.36492;129.37156;142.77331;29.30516;0.17869
20201106-2;winter;9;64.68578;74.15635;120.79444;19.6559;174.04406;75.58587;119.54361;129.19287;145.27497;31.62813;0.17869
20201106-2;winter;10;65.04316;75.0498;121.86658;20.01328;174.40144;76.12194;119.54361;129.37156;143.48807;29.66254;0.17869
20201031-1;spring;1;52.89224;70.58255;107.03531;14.11651;163.14397;68.25958;109.0009;124.01086;132.2306;24.65922;0.17869
20201031-1;spring;2;54.50045;71.11862;109.0009;13.75913;163.85873;68.43827;109.53697;123.83217;132.94536;25.0166;0.17869
20201031-1;spring;3;53.24962;70.58255;106.67793;14.11651;162.96528;68.79565;109.53697;123.47479;132.76667;24.30184;0.17869
20201031-1;spring;4;54.32176;70.04648;109.35828;13.04437;164.03742;67.36613;109.35828;123.2961;131.33715;23.58708;0.17869
20201031-1;spring;5;53.78569;70.40386;107.57138;14.47389;163.14397;68.61696;109.35828;124.01086;131.15846;23.58708;0.17869
20201031-1;spring;6;55.03652;70.76124;108.64352;13.93782;164.57349;67.9022;109.53697;123.83217;133.12405;25.37398;0.17869
20201031-1;spring;7;53.96438;69.86779;108.64352;13.40175;163.50135;67.72351;109.35828;123.11741;130.80108;23.2297;0.17869
